Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     3460.04          213636.38             2828.37              308.81              631.67                0.40           192580.81



Scenario           Profit              Sales               Leftover_inv        demand
s1             249624.27                    3188.25              271.79             3188.25
s2             276803.08                    3460.04                0.00             3838.86
s3              86067.10                    1552.68             1907.36             1552.68
s4             247093.32                    3162.94              297.10             3162.94
s5              91384.30                    1605.85             1854.19             1605.85
s6             178882.15                    2480.83              979.21             2480.83
s7             276803.08                    3460.04                0.00             3563.91
s8             121519.49                    1907.20             1552.84             1907.20
s9             276803.08                    3460.04                0.00             3974.80
s10            -69200.77                       0.00             3460.04                0.00
s11            202342.95                    2715.44              744.60             2715.44
s12            132537.36                    2017.38             1442.66             2017.38
s13            197023.32                    2662.24              797.80             2662.24
s14            276803.08                    3460.04                0.00             4485.04
s15            209584.84                    2787.86              672.18             2787.86
s16            177524.83                    2467.26              992.78             2467.26
s17            276803.08                    3460.04                0.00             4192.53
s18            217799.14                    2870.00              590.04             2870.00
s19            199758.30                    2689.59              770.45             2689.59
s20            183440.30                    2526.41              933.63             2526.41
s21            276803.08                    3460.04                0.00             4091.27
s22            261564.39                    3307.65              152.39             3307.65
s23            276803.08                    3460.04                0.00             4714.17
s24             67485.88                    1366.87             2093.17             1366.87
s25            276803.08                    3460.04                0.00             4182.56
s26            -64435.38                      47.65             3412.38               47.65
s27            276803.08                    3460.04                0.00             3866.85
s28            276803.08                    3460.04                0.00             4048.97
s29            276803.08                    3460.04                0.00             4090.59
s30            276803.08                    3460.04                0.00             4408.84
s31            263650.41                    3328.51              131.53             3328.51
s32            260980.34                    3301.81              158.23             3301.81
s33            276803.08                    3460.04                0.00             3874.48
s34            276803.08                    3460.04                0.00             3907.43
s35            227041.64                    2962.42              497.61             2962.42
s36            244929.46                    3141.30              318.74             3141.30
s37            276803.08                    3460.04                0.00             3648.11
s38            276803.08                    3460.04                0.00             3681.10
s39            276803.08                    3460.04                0.00             5003.22
s40            268641.77                    3378.43               81.61             3378.43
s41            276803.08                    3460.04                0.00             5107.10
s42            117602.03                    1868.03             1592.01             1868.03
s43            204427.06                    2736.28              723.76             2736.28
s44            -47594.39                     216.06             3243.97              216.06
s45            216328.25                    2855.29              604.75             2855.29
s46             92127.01                    1613.28             1846.76             1613.28
s47            121187.33                    1903.88             1556.16             1903.88
s48            245695.05                    3148.96              311.08             3148.96
s49            276803.08                    3460.04                0.00             4403.85
s50            276803.08                    3460.04                0.00             3964.55
s51            223398.42                    2925.99              534.05             2925.99
s52            276803.08                    3460.04                0.00             4750.87
s53            119638.45                    1888.39             1571.65             1888.39
