Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     2184.20          162559.11             2062.43             1074.75              121.77                0.80           126027.54



Scenario           Profit              Sales               Leftover_inv        demand
s1             174736.30                    2184.20                0.00             3188.25
s2             174736.30                    2184.20                0.00             3838.86
s3             111583.79                    1552.68              631.53             1552.68
s4             174736.30                    2184.20                0.00             3162.94
s5             116901.00                    1605.85              578.35             1605.85
s6             174736.30                    2184.20                0.00             2480.83
s7             174736.30                    2184.20                0.00             3563.91
s8             147036.19                    1907.20              277.00             1907.20
s9             174736.30                    2184.20                0.00             3974.80
s10            -43684.08                       0.00             2184.20                0.00
s11            174736.30                    2184.20                0.00             2715.44
s12            158054.05                    2017.38              166.82             2017.38
s13            174736.30                    2184.20                0.00             2662.24
s14            174736.30                    2184.20                0.00             4485.04
s15            174736.30                    2184.20                0.00             2787.86
s16            174736.30                    2184.20                0.00             2467.26
s17            174736.30                    2184.20                0.00             4192.53
s18            174736.30                    2184.20                0.00             2870.00
s19            174736.30                    2184.20                0.00             2689.59
s20            174736.30                    2184.20                0.00             2526.41
s21            174736.30                    2184.20                0.00             4091.27
s22            174736.30                    2184.20                0.00             3307.65
s23            174736.30                    2184.20                0.00             4714.17
s24             93002.57                    1366.87              817.34             1366.87
s25            174736.30                    2184.20                0.00             4182.56
s26            -38918.68                      47.65             2136.55               47.65
s27            174736.30                    2184.20                0.00             3866.85
s28            174736.30                    2184.20                0.00             4048.97
s29            174736.30                    2184.20                0.00             4090.59
s30            174736.30                    2184.20                0.00             4408.84
s31            174736.30                    2184.20                0.00             3328.51
s32            174736.30                    2184.20                0.00             3301.81
s33            174736.30                    2184.20                0.00             3874.48
s34            174736.30                    2184.20                0.00             3907.43
s35            174736.30                    2184.20                0.00             2962.42
s36            174736.30                    2184.20                0.00             3141.30
s37            174736.30                    2184.20                0.00             3648.11
s38            174736.30                    2184.20                0.00             3681.10
s39            174736.30                    2184.20                0.00             5003.22
s40            174736.30                    2184.20                0.00             3378.43
s41            174736.30                    2184.20                0.00             5107.10
s42            143118.72                    1868.03              316.18             1868.03
s43            174736.30                    2184.20                0.00             2736.28
s44            -22077.69                     216.06             1968.14              216.06
s45            174736.30                    2184.20                0.00             2855.29
s46            117643.70                    1613.28              570.93             1613.28
s47            146704.03                    1903.88              280.32             1903.88
s48            174736.30                    2184.20                0.00             3148.96
s49            174736.30                    2184.20                0.00             4403.85
s50            174736.30                    2184.20                0.00             3964.55
s51            174736.30                    2184.20                0.00             2925.99
s52            174736.30                    2184.20                0.00             4750.87
s53            145155.14                    1888.39              295.81             1888.39
s54            174736.30                    2184.20                0.00             2459.57
s55            174736.30                    2184.20                0.00             2617.27
s56            174736.30                    2184.20                0.00             2288.06
s57            174736.30                    2184.20                0.00             3585.10
s58            174736.30                    2184.20                0.00             4368.33
s59            174736.30                    2184.20                0.00             4971.11
s60             99115.03                    1427.99              756.21             1427.99
s61            174736.30                    2184.20                0.00             4248.76
s62            174736.30                    2184.20                0.00             4121.00
s63            151048.41                    1947.32              236.88             1947.32
s64            128354.63                    1720.39              463.82             1720.39
s65            174736.30                    2184.20                0.00             4508.10
s66            174736.30                    2184.20                0.00             2745.26
s67            174736.30                    2184.20                0.00             2400.82
s68            174736.30                    2184.20                0.00             3201.93
s69            174736.30                    2184.20                0.00             2378.94
s70            174736.30                    2184.20                0.00             2491.32
s71            174736.30                    2184.20                0.00             2551.31
s72            174736.30                    2184.20                0.00             2593.27
s73            174736.30                    2184.20                0.00             7010.74
s74            174736.30                    2184.20                0.00             3956.45
s75            133399.67                    1770.84              413.37             1770.84
s76            174736.30                    2184.20                0.00             3870.97
s77             63182.07                    1068.66             1115.54             1068.66
s78            174736.30                    2184.20                0.00             3746.06
s79            174736.30                    2184.20                0.00             4210.24
s80            174736.30                    2184.20                0.00             3890.99
s81             86903.38                    1305.87              878.33             1305.87
s82            174736.30                    2184.20                0.00             3498.27
s83            174736.30                    2184.20                0.00             3197.86
s84            157328.58                    2010.13              174.08             2010.13
s85            174736.30                    2184.20                0.00             2222.25
s86            174736.30                    2184.20                0.00             2568.55
s87            174736.30                    2184.20                0.00             3709.01
s88            174736.30                    2184.20                0.00             3655.25
s89            174736.30                    2184.20                0.00             3448.57
s90            136067.92                    1797.52              386.68             1797.52
s91            174736.30                    2184.20                0.00             4424.47
s92            174736.30                    2184.20                0.00             4349.05
s93            174736.30                    2184.20                0.00             2426.19
s94            174736.30                    2184.20                0.00             3756.19
s95            174736.30                    2184.20                0.00             2940.36
s96            174736.30                    2184.20                0.00             2766.13
s97            174736.30                    2184.20                0.00             3956.88
