Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     1612.68          124385.13             1566.39             1570.79               46.29                0.92            82725.06



Scenario           Profit              Sales               Leftover_inv        demand
s1             129014.02                    1612.68                0.00             3188.25
s2             129014.02                    1612.68                0.00             3838.86
s3             123014.36                    1552.68               60.00             1552.68
s4             129014.02                    1612.68                0.00             3162.94
s5             128331.57                    1605.85                6.82             1605.85
s6             129014.02                    1612.68                0.00             2480.83
s7             129014.02                    1612.68                0.00             3563.91
s8             129014.02                    1612.68                0.00             1907.20
s9             129014.02                    1612.68                0.00             3974.80
s10            -32253.51                       0.00             1612.68                0.00
s11            129014.02                    1612.68                0.00             2715.44
s12            129014.02                    1612.68                0.00             2017.38
s13            129014.02                    1612.68                0.00             2662.24
s14            129014.02                    1612.68                0.00             4485.04
s15            129014.02                    1612.68                0.00             2787.86
s16            129014.02                    1612.68                0.00             2467.26
s17            129014.02                    1612.68                0.00             4192.53
s18            129014.02                    1612.68                0.00             2870.00
s19            129014.02                    1612.68                0.00             2689.59
s20            129014.02                    1612.68                0.00             2526.41
s21            129014.02                    1612.68                0.00             4091.27
s22            129014.02                    1612.68                0.00             3307.65
s23            129014.02                    1612.68                0.00             4714.17
s24            104433.14                    1366.87              245.81             1366.87
s25            129014.02                    1612.68                0.00             4182.56
s26            -27488.11                      47.65             1565.02               47.65
s27            129014.02                    1612.68                0.00             3866.85
s28            129014.02                    1612.68                0.00             4048.97
s29            129014.02                    1612.68                0.00             4090.59
s30            129014.02                    1612.68                0.00             4408.84
s31            129014.02                    1612.68                0.00             3328.51
s32            129014.02                    1612.68                0.00             3301.81
s33            129014.02                    1612.68                0.00             3874.48
s34            129014.02                    1612.68                0.00             3907.43
s35            129014.02                    1612.68                0.00             2962.42
s36            129014.02                    1612.68                0.00             3141.30
s37            129014.02                    1612.68                0.00             3648.11
s38            129014.02                    1612.68                0.00             3681.10
s39            129014.02                    1612.68                0.00             5003.22
s40            129014.02                    1612.68                0.00             3378.43
s41            129014.02                    1612.68                0.00             5107.10
s42            129014.02                    1612.68                0.00             1868.03
s43            129014.02                    1612.68                0.00             2736.28
s44            -10647.12                     216.06             1396.61              216.06
s45            129014.02                    1612.68                0.00             2855.29
s46            129014.02                    1612.68                0.00             1613.28
s47            129014.02                    1612.68                0.00             1903.88
s48            129014.02                    1612.68                0.00             3148.96
s49            129014.02                    1612.68                0.00             4403.85
s50            129014.02                    1612.68                0.00             3964.55
s51            129014.02                    1612.68                0.00             2925.99
s52            129014.02                    1612.68                0.00             4750.87
s53            129014.02                    1612.68                0.00             1888.39
s54            129014.02                    1612.68                0.00             2459.57
s55            129014.02                    1612.68                0.00             2617.27
s56            129014.02                    1612.68                0.00             2288.06
s57            129014.02                    1612.68                0.00             3585.10
s58            129014.02                    1612.68                0.00             4368.33
s59            129014.02                    1612.68                0.00             4971.11
s60            110545.60                    1427.99              184.68             1427.99
s61            129014.02                    1612.68                0.00             4248.76
s62            129014.02                    1612.68                0.00             4121.00
s63            129014.02                    1612.68                0.00             1947.32
s64            129014.02                    1612.68                0.00             1720.39
s65            129014.02                    1612.68                0.00             4508.10
s66            129014.02                    1612.68                0.00             2745.26
s67            129014.02                    1612.68                0.00             2400.82
s68            129014.02                    1612.68                0.00             3201.93
s69            129014.02                    1612.68                0.00             2378.94
s70            129014.02                    1612.68                0.00             2491.32
s71            129014.02                    1612.68                0.00             2551.31
s72            129014.02                    1612.68                0.00             2593.27
s73            129014.02                    1612.68                0.00             7010.74
s74            129014.02                    1612.68                0.00             3956.45
s75            129014.02                    1612.68                0.00             1770.84
s76            129014.02                    1612.68                0.00             3870.97
