Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     1155.39           90369.65             1134.77             2002.40               20.62                0.96            51197.70



Scenario           Profit              Sales               Leftover_inv        demand
s1              92431.33                    1155.39                0.00             3188.25
s2              92431.33                    1155.39                0.00             3838.86
s3              92431.33                    1155.39                0.00             1552.68
s4              92431.33                    1155.39                0.00             3162.94
s5              92431.33                    1155.39                0.00             1605.85
s6              92431.33                    1155.39                0.00             2480.83
s7              92431.33                    1155.39                0.00             3563.91
s8              92431.33                    1155.39                0.00             1907.20
s9              92431.33                    1155.39                0.00             3974.80
s10            -23107.83                       0.00             1155.39                0.00
s11             92431.33                    1155.39                0.00             2715.44
s12             92431.33                    1155.39                0.00             2017.38
s13             92431.33                    1155.39                0.00             2662.24
s14             92431.33                    1155.39                0.00             4485.04
s15             92431.33                    1155.39                0.00             2787.86
s16             92431.33                    1155.39                0.00             2467.26
s17             92431.33                    1155.39                0.00             4192.53
s18             92431.33                    1155.39                0.00             2870.00
s19             92431.33                    1155.39                0.00             2689.59
s20             92431.33                    1155.39                0.00             2526.41
s21             92431.33                    1155.39                0.00             4091.27
s22             92431.33                    1155.39                0.00             3307.65
s23             92431.33                    1155.39                0.00             4714.17
s24             92431.33                    1155.39                0.00             1366.87
s25             92431.33                    1155.39                0.00             4182.56
s26            -18342.44                      47.65             1107.74               47.65
s27             92431.33                    1155.39                0.00             3866.85
s28             92431.33                    1155.39                0.00             4048.97
s29             92431.33                    1155.39                0.00             4090.59
s30             92431.33                    1155.39                0.00             4408.84
s31             92431.33                    1155.39                0.00             3328.51
s32             92431.33                    1155.39                0.00             3301.81
s33             92431.33                    1155.39                0.00             3874.48
s34             92431.33                    1155.39                0.00             3907.43
s35             92431.33                    1155.39                0.00             2962.42
s36             92431.33                    1155.39                0.00             3141.30
s37             92431.33                    1155.39                0.00             3648.11
s38             92431.33                    1155.39                0.00             3681.10
s39             92431.33                    1155.39                0.00             5003.22
s40             92431.33                    1155.39                0.00             3378.43
s41             92431.33                    1155.39                0.00             5107.10
s42             92431.33                    1155.39                0.00             1868.03
s43             92431.33                    1155.39                0.00             2736.28
s44             -1501.45                     216.06              939.33              216.06
s45             92431.33                    1155.39                0.00             2855.29
s46             92431.33                    1155.39                0.00             1613.28
s47             92431.33                    1155.39                0.00             1903.88
s48             92431.33                    1155.39                0.00             3148.96
s49             92431.33                    1155.39                0.00             4403.85
s50             92431.33                    1155.39                0.00             3964.55
s51             92431.33                    1155.39                0.00             2925.99
s52             92431.33                    1155.39                0.00             4750.87
s53             92431.33                    1155.39                0.00             1888.39
s54             92431.33                    1155.39                0.00             2459.57
s55             92431.33                    1155.39                0.00             2617.27
s56             92431.33                    1155.39                0.00             2288.06
s57             92431.33                    1155.39                0.00             3585.10
s58             92431.33                    1155.39                0.00             4368.33
s59             92431.33                    1155.39                0.00             4971.11
s60             92431.33                    1155.39                0.00             1427.99
s61             92431.33                    1155.39                0.00             4248.76
s62             92431.33                    1155.39                0.00             4121.00
s63             92431.33                    1155.39                0.00             1947.32
s64             92431.33                    1155.39                0.00             1720.39
s65             92431.33                    1155.39                0.00             4508.10
s66             92431.33                    1155.39                0.00             2745.26
s67             92431.33                    1155.39                0.00             2400.82
s68             92431.33                    1155.39                0.00             3201.93
s69             92431.33                    1155.39                0.00             2378.94
s70             92431.33                    1155.39                0.00             2491.32
s71             92431.33                    1155.39                0.00             2551.31
s72             92431.33                    1155.39                0.00             2593.27
s73             92431.33                    1155.39                0.00             7010.74
s74             92431.33                    1155.39                0.00             3956.45
s75             92431.33                    1155.39                0.00             1770.84
s76             92431.33                    1155.39                0.00             3870.97
s77             83758.32                    1068.66               86.73             1068.66
s78             92431.33                    1155.39                0.00             3746.06
s79             92431.33                    1155.39                0.00             4210.24
s80             92431.33                    1155.39                0.00             3890.99
s81             92431.33                    1155.39                0.00             1305.87
s82             92431.33                    1155.39                0.00             3498.27
s83             92431.33                    1155.39                0.00             3197.86
s84             92431.33                    1155.39                0.00             2010.13
s85             92431.33                    1155.39                0.00             2222.25
s86             92431.33                    1155.39                0.00             2568.55
s87             92431.33                    1155.39                0.00             3709.01
s88             92431.33                    1155.39                0.00             3655.25
s89             92431.33                    1155.39                0.00             3448.57
s90             92431.33                    1155.39                0.00             1797.52
s91             92431.33                    1155.39                0.00             4424.47
s92             92431.33                    1155.39                0.00             4349.05
s93             92431.33                    1155.39                0.00             2426.19
s94             92431.33                    1155.39                0.00             3756.19
s95             92431.33                    1155.39                0.00             2940.36
s96             92431.33                    1155.39                0.00             2766.13
s97             92431.33                    1155.39                0.00             3956.88
s98             92431.33                    1155.39                0.00             2475.70
s99             92431.33                    1155.39                0.00             2966.90
s100            92431.33                    1155.39                0.00             1521.92
s101            92431.33                    1155.39                0.00             4327.76
s102            92431.33                    1155.39                0.00             3261.12
s103            92431.33                    1155.39                0.00             1859.92
s104            92431.33                    1155.39                0.00             1599.15
s105            92431.33                    1155.39                0.00             3959.47
s106            92431.33                    1155.39                0.00             3434.49
s107            92431.33                    1155.39                0.00             2500.85
s108            92431.33                    1155.39                0.00             1331.09
s109            92431.33                    1155.39                0.00             2153.06
s110            92431.33                    1155.39                0.00             4339.83
s111            92431.33                    1155.39                0.00             5598.15
s112            92431.33                    1155.39                0.00             2515.86
s113            13629.90                     367.38              788.01              367.38
s114            92431.33                    1155.39                0.00             3099.94
s115            92431.33                    1155.39                0.00             4296.38
s116            92431.33                    1155.39                0.00             3281.13
s117            92431.33                    1155.39                0.00             2461.30
s118            92431.33                    1155.39                0.00             3019.16
s119            92431.33                    1155.39                0.00             3096.81
s120            92431.33                    1155.39                0.00             3818.87
s121            92431.33                    1155.39                0.00             2760.31
s122            92431.33                    1155.39                0.00             3906.00
s123            92431.33                    1155.39                0.00             1574.58
s124            92431.33                    1155.39                0.00             3166.96
s125            68181.99                     912.90              242.49              912.90
s126            92431.33                    1155.39                0.00             1893.51
s127            92431.33                    1155.39                0.00             3941.33
s128            92431.33                    1155.39                0.00             3211.88
s129            92431.33                    1155.39                0.00             1871.49
s130            15903.42                     390.11              765.28              390.11
s131            92431.33                    1155.39                0.00             3719.54
s132            92431.33                    1155.39                0.00             3353.03
s133            92431.33                    1155.39                0.00             3290.54
s134            92431.33                    1155.39                0.00             4304.49
s135            92431.33                    1155.39                0.00             2519.02
s136            92431.33                    1155.39                0.00             3080.56
s137            92431.33                    1155.39                0.00             4784.99
s138            92431.33                    1155.39                0.00             3108.43
s139            92431.33                    1155.39                0.00             4328.83
s140            92431.33                    1155.39                0.00             2472.25
s141            92431.33                    1155.39                0.00             3976.60
s142            92431.33                    1155.39                0.00             3698.00
s143            92431.33                    1155.39                0.00             4542.86
s144            53253.68                     763.62              391.78              763.62
s145            92431.33                    1155.39                0.00             1184.95
s146            92431.33                    1155.39                0.00             2699.69
s147            92431.33                    1155.39                0.00             3626.35
s148            92431.33                    1155.39                0.00             4781.35
s149            92431.33                    1155.39                0.00             4151.54
s150            92431.33                    1155.39                0.00             3827.90
s151            92431.33                    1155.39                0.00             2829.46
s152            92431.33                    1155.39                0.00             1565.40
s153            92431.33                    1155.39                0.00             1742.28
s154            92431.33                    1155.39                0.00             4234.46
s155            92431.33                    1155.39                0.00             2321.55
s156            92431.33                    1155.39                0.00             2375.60
s157            92431.33                    1155.39                0.00             3579.42
s158            92431.33                    1155.39                0.00             2919.31
s159            92431.33                    1155.39                0.00             2771.73
s160            92431.33                    1155.39                0.00             3750.56
s161            92431.33                    1155.39                0.00             4494.94
s162            92431.33                    1155.39                0.00             2590.69
s163            92431.33                    1155.39                0.00             1871.29
s164            92431.33                    1155.39                0.00             4090.04
s165            92431.33                    1155.39                0.00             2969.56
s166            92431.33                    1155.39                0.00             3185.79
s167            92431.33                    1155.39                0.00             3479.89
s168            92431.33                    1155.39                0.00             2239.42
s169            92431.33                    1155.39                0.00             3749.28
s170            92431.33                    1155.39                0.00             2205.65
s171            92431.33                    1155.39                0.00             3082.36
s172            92431.33                    1155.39                0.00             1800.00
s173            92431.33                    1155.39                0.00             4267.36
s174            92431.33                    1155.39                0.00             6307.64
s175            92431.33                    1155.39                0.00             4548.85
s176            92431.33                    1155.39                0.00             2443.43
s177            92431.33                    1155.39                0.00             3957.97
s178            92431.33                    1155.39                0.00             3493.36
s179            92431.33                    1155.39                0.00             2961.18
s180            92431.33                    1155.39                0.00             3737.22
s181            92431.33                    1155.39                0.00             4514.19
s182            92431.33                    1155.39                0.00             3352.89
s183            92431.33                    1155.39                0.00             3573.93
s184            92431.33                    1155.39                0.00             5024.76
s185            92431.33                    1155.39                0.00             2998.27
s186            92431.33                    1155.39                0.00             3732.34
s187            -8703.94                     144.04             1011.35              144.04
s188            92431.33                    1155.39                0.00             5122.31
s189            92431.33                    1155.39                0.00             2691.48
s190            92431.33                    1155.39                0.00             3026.21
s191            92431.33                    1155.39                0.00             3688.75
s192            92431.33                    1155.39                0.00             3274.05
s193            92431.33                    1155.39                0.00             3510.31
s194            92431.33                    1155.39                0.00             1335.14
s195            92431.33                    1155.39                0.00             3645.14
s196            92431.33                    1155.39                0.00             2797.67
s197            92431.33                    1155.39                0.00             3235.16
s198            92431.33                    1155.39                0.00             3181.71
s199            92431.33                    1155.39                0.00             4042.54
s200            92431.33                    1155.39                0.00             1532.34
s201            92431.33                    1155.39                0.00             2575.40
s202            92431.33                    1155.39                0.00             3764.85
s203            92431.33                    1155.39                0.00             2759.89
s204            92431.33                    1155.39                0.00             3029.35
s205            92431.33                    1155.39                0.00             3293.42
s206            92431.33                    1155.39                0.00             4071.56
s207            92431.33                    1155.39                0.00             4144.28
s208            92431.33                    1155.39                0.00             2512.89
s209            92431.33                    1155.39                0.00             4029.13
s210            92431.33                    1155.39                0.00             2550.31
s211            92431.33                    1155.39                0.00             2615.71
s212            92431.33                    1155.39                0.00             2653.85
s213            92431.33                    1155.39                0.00             2927.99
s214            92431.33                    1155.39                0.00             2451.07
s215            92431.33                    1155.39                0.00             4275.19
s216            92431.33                    1155.39                0.00             4567.11
s217            92431.33                    1155.39                0.00             4616.65
s218            92431.33                    1155.39                0.00             2198.09
s219            92431.33                    1155.39                0.00             3922.24
s220            92431.33                    1155.39                0.00             4843.11
s221            92431.33                    1155.39                0.00             2323.17
s222            92431.33                    1155.39                0.00             2523.03
s223            92431.33                    1155.39                0.00             2786.21
s224            92431.33                    1155.39                0.00             3078.87
s225            92431.33                    1155.39                0.00             4501.35
s226            92431.33                    1155.39                0.00             3628.98
s227            92431.33                    1155.39                0.00             2324.10
s228            92431.33                    1155.39                0.00             2110.19
s229            92431.33                    1155.39                0.00             3114.46
s230            92431.33                    1155.39                0.00             4367.70
s231            92431.33                    1155.39                0.00             2022.75
s232            92431.33                    1155.39                0.00             3208.13
s233            92431.33                    1155.39                0.00             3376.59
s234            92431.33                    1155.39                0.00             3422.66
s235            92431.33                    1155.39                0.00             3092.89
s236            92431.33                    1155.39                0.00             2156.75
s237            92431.33                    1155.39                0.00             1510.19
s238            92431.33                    1155.39                0.00             2714.67
s239            92431.33                    1155.39                0.00             3196.28
s240            92431.33                    1155.39                0.00             2607.45
s241            92431.33                    1155.39                0.00             2032.86
s242            92431.33                    1155.39                0.00             3734.26
s243            92431.33                    1155.39                0.00             3367.61
s244            92431.33                    1155.39                0.00             3802.00
s245            92431.33                    1155.39                0.00             2750.59
s246            92431.33                    1155.39                0.00             2917.83
s247            92431.33                    1155.39                0.00             3164.90
s248            92431.33                    1155.39                0.00             3743.60
s249            92431.33                    1155.39                0.00             2192.11
s250            92431.33                    1155.39                0.00             3228.50
s251            92431.33                    1155.39                0.00             3137.31
s252            92431.33                    1155.39                0.00             1974.85
s253            92431.33                    1155.39                0.00             3177.52
s254            92431.33                    1155.39                0.00             2958.72
s255            92431.33                    1155.39                0.00             3797.97
s256            92431.33                    1155.39                0.00             2260.01
