Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

      166.55           13241.81              165.73             2971.45                0.82                0.99             5095.50



Scenario           Profit              Sales               Leftover_inv        demand
s1              13324.09                     166.55                0.00             3188.25
s2              13324.09                     166.55                0.00             3838.86
s3              13324.09                     166.55                0.00             1552.68
s4              13324.09                     166.55                0.00             3162.94
s5              13324.09                     166.55                0.00             1605.85
s6              13324.09                     166.55                0.00             2480.83
s7              13324.09                     166.55                0.00             3563.91
s8              13324.09                     166.55                0.00             1907.20
s9              13324.09                     166.55                0.00             3974.80
s10             -3331.02                       0.00              166.55                0.00
s11             13324.09                     166.55                0.00             2715.44
s12             13324.09                     166.55                0.00             2017.38
s13             13324.09                     166.55                0.00             2662.24
s14             13324.09                     166.55                0.00             4485.04
s15             13324.09                     166.55                0.00             2787.86
s16             13324.09                     166.55                0.00             2467.26
s17             13324.09                     166.55                0.00             4192.53
s18             13324.09                     166.55                0.00             2870.00
s19             13324.09                     166.55                0.00             2689.59
s20             13324.09                     166.55                0.00             2526.41
s21             13324.09                     166.55                0.00             4091.27
s22             13324.09                     166.55                0.00             3307.65
s23             13324.09                     166.55                0.00             4714.17
s24             13324.09                     166.55                0.00             1366.87
s25             13324.09                     166.55                0.00             4182.56
s26              1434.37                      47.65              118.90               47.65
s27             13324.09                     166.55                0.00             3866.85
s28             13324.09                     166.55                0.00             4048.97
s29             13324.09                     166.55                0.00             4090.59
s30             13324.09                     166.55                0.00             4408.84
s31             13324.09                     166.55                0.00             3328.51
s32             13324.09                     166.55                0.00             3301.81
s33             13324.09                     166.55                0.00             3874.48
s34             13324.09                     166.55                0.00             3907.43
s35             13324.09                     166.55                0.00             2962.42
s36             13324.09                     166.55                0.00             3141.30
s37             13324.09                     166.55                0.00             3648.11
s38             13324.09                     166.55                0.00             3681.10
s39             13324.09                     166.55                0.00             5003.22
s40             13324.09                     166.55                0.00             3378.43
s41             13324.09                     166.55                0.00             5107.10
s42             13324.09                     166.55                0.00             1868.03
s43             13324.09                     166.55                0.00             2736.28
s44             13324.09                     166.55                0.00              216.06
s45             13324.09                     166.55                0.00             2855.29
s46             13324.09                     166.55                0.00             1613.28
s47             13324.09                     166.55                0.00             1903.88
s48             13324.09                     166.55                0.00             3148.96
s49             13324.09                     166.55                0.00             4403.85
s50             13324.09                     166.55                0.00             3964.55
s51             13324.09                     166.55                0.00             2925.99
s52             13324.09                     166.55                0.00             4750.87
s53             13324.09                     166.55                0.00             1888.39
s54             13324.09                     166.55                0.00             2459.57
s55             13324.09                     166.55                0.00             2617.27
s56             13324.09                     166.55                0.00             2288.06
s57             13324.09                     166.55                0.00             3585.10
s58             13324.09                     166.55                0.00             4368.33
s59             13324.09                     166.55                0.00             4971.11
s60             13324.09                     166.55                0.00             1427.99
s61             13324.09                     166.55                0.00             4248.76
s62             13324.09                     166.55                0.00             4121.00
s63             13324.09                     166.55                0.00             1947.32
s64             13324.09                     166.55                0.00             1720.39
s65             13324.09                     166.55                0.00             4508.10
s66             13324.09                     166.55                0.00             2745.26
s67             13324.09                     166.55                0.00             2400.82
s68             13324.09                     166.55                0.00             3201.93
s69             13324.09                     166.55                0.00             2378.94
s70             13324.09                     166.55                0.00             2491.32
s71             13324.09                     166.55                0.00             2551.31
s72             13324.09                     166.55                0.00             2593.27
s73             13324.09                     166.55                0.00             7010.74
s74             13324.09                     166.55                0.00             3956.45
s75             13324.09                     166.55                0.00             1770.84
s76             13324.09                     166.55                0.00             3870.97
s77             13324.09                     166.55                0.00             1068.66
s78             13324.09                     166.55                0.00             3746.06
s79             13324.09                     166.55                0.00             4210.24
s80             13324.09                     166.55                0.00             3890.99
s81             13324.09                     166.55                0.00             1305.87
s82             13324.09                     166.55                0.00             3498.27
s83             13324.09                     166.55                0.00             3197.86
s84             13324.09                     166.55                0.00             2010.13
s85             13324.09                     166.55                0.00             2222.25
s86             13324.09                     166.55                0.00             2568.55
s87             13324.09                     166.55                0.00             3709.01
s88             13324.09                     166.55                0.00             3655.25
s89             13324.09                     166.55                0.00             3448.57
s90             13324.09                     166.55                0.00             1797.52
s91             13324.09                     166.55                0.00             4424.47
s92             13324.09                     166.55                0.00             4349.05
s93             13324.09                     166.55                0.00             2426.19
s94             13324.09                     166.55                0.00             3756.19
s95             13324.09                     166.55                0.00             2940.36
s96             13324.09                     166.55                0.00             2766.13
s97             13324.09                     166.55                0.00             3956.88
s98             13324.09                     166.55                0.00             2475.70
s99             13324.09                     166.55                0.00             2966.90
s100            13324.09                     166.55                0.00             1521.92
s101            13324.09                     166.55                0.00             4327.76
s102            13324.09                     166.55                0.00             3261.12
s103            13324.09                     166.55                0.00             1859.92
s104            13324.09                     166.55                0.00             1599.15
s105            13324.09                     166.55                0.00             3959.47
s106            13324.09                     166.55                0.00             3434.49
s107            13324.09                     166.55                0.00             2500.85
s108            13324.09                     166.55                0.00             1331.09
s109            13324.09                     166.55                0.00             2153.06
s110            13324.09                     166.55                0.00             4339.83
s111            13324.09                     166.55                0.00             5598.15
s112            13324.09                     166.55                0.00             2515.86
s113            13324.09                     166.55                0.00              367.38
s114            13324.09                     166.55                0.00             3099.94
s115            13324.09                     166.55                0.00             4296.38
s116            13324.09                     166.55                0.00             3281.13
s117            13324.09                     166.55                0.00             2461.30
s118            13324.09                     166.55                0.00             3019.16
s119            13324.09                     166.55                0.00             3096.81
s120            13324.09                     166.55                0.00             3818.87
s121            13324.09                     166.55                0.00             2760.31
s122            13324.09                     166.55                0.00             3906.00
s123            13324.09                     166.55                0.00             1574.58
s124            13324.09                     166.55                0.00             3166.96
s125            13324.09                     166.55                0.00              912.90
s126            13324.09                     166.55                0.00             1893.51
s127            13324.09                     166.55                0.00             3941.33
s128            13324.09                     166.55                0.00             3211.88
s129            13324.09                     166.55                0.00             1871.49
s130            13324.09                     166.55                0.00              390.11
s131            13324.09                     166.55                0.00             3719.54
s132            13324.09                     166.55                0.00             3353.03
s133            13324.09                     166.55                0.00             3290.54
s134            13324.09                     166.55                0.00             4304.49
s135            13324.09                     166.55                0.00             2519.02
s136            13324.09                     166.55                0.00             3080.56
s137            13324.09                     166.55                0.00             4784.99
s138            13324.09                     166.55                0.00             3108.43
s139            13324.09                     166.55                0.00             4328.83
s140            13324.09                     166.55                0.00             2472.25
s141            13324.09                     166.55                0.00             3976.60
s142            13324.09                     166.55                0.00             3698.00
s143            13324.09                     166.55                0.00             4542.86
s144            13324.09                     166.55                0.00              763.62
s145            13324.09                     166.55                0.00             1184.95
s146            13324.09                     166.55                0.00             2699.69
s147            13324.09                     166.55                0.00             3626.35
s148            13324.09                     166.55                0.00             4781.35
s149            13324.09                     166.55                0.00             4151.54
s150            13324.09                     166.55                0.00             3827.90
s151            13324.09                     166.55                0.00             2829.46
s152            13324.09                     166.55                0.00             1565.40
s153            13324.09                     166.55                0.00             1742.28
s154            13324.09                     166.55                0.00             4234.46
s155            13324.09                     166.55                0.00             2321.55
s156            13324.09                     166.55                0.00             2375.60
s157            13324.09                     166.55                0.00             3579.42
s158            13324.09                     166.55                0.00             2919.31
s159            13324.09                     166.55                0.00             2771.73
s160            13324.09                     166.55                0.00             3750.56
s161            13324.09                     166.55                0.00             4494.94
s162            13324.09                     166.55                0.00             2590.69
s163            13324.09                     166.55                0.00             1871.29
s164            13324.09                     166.55                0.00             4090.04
s165            13324.09                     166.55                0.00             2969.56
s166            13324.09                     166.55                0.00             3185.79
s167            13324.09                     166.55                0.00             3479.89
s168            13324.09                     166.55                0.00             2239.42
s169            13324.09                     166.55                0.00             3749.28
s170            13324.09                     166.55                0.00             2205.65
s171            13324.09                     166.55                0.00             3082.36
s172            13324.09                     166.55                0.00             1800.00
s173            13324.09                     166.55                0.00             4267.36
s174            13324.09                     166.55                0.00             6307.64
s175            13324.09                     166.55                0.00             4548.85
s176            13324.09                     166.55                0.00             2443.43
s177            13324.09                     166.55                0.00             3957.97
s178            13324.09                     166.55                0.00             3493.36
s179            13324.09                     166.55                0.00             2961.18
s180            13324.09                     166.55                0.00             3737.22
s181            13324.09                     166.55                0.00             4514.19
s182            13324.09                     166.55                0.00             3352.89
s183            13324.09                     166.55                0.00             3573.93
s184            13324.09                     166.55                0.00             5024.76
s185            13324.09                     166.55                0.00             2998.27
s186            13324.09                     166.55                0.00             3732.34
s187            11072.87                     144.04               22.51              144.04
s188            13324.09                     166.55                0.00             5122.31
s189            13324.09                     166.55                0.00             2691.48
s190            13324.09                     166.55                0.00             3026.21
s191            13324.09                     166.55                0.00             3688.75
s192            13324.09                     166.55                0.00             3274.05
s193            13324.09                     166.55                0.00             3510.31
s194            13324.09                     166.55                0.00             1335.14
s195            13324.09                     166.55                0.00             3645.14
s196            13324.09                     166.55                0.00             2797.67
s197            13324.09                     166.55                0.00             3235.16
s198            13324.09                     166.55                0.00             3181.71
s199            13324.09                     166.55                0.00             4042.54
s200            13324.09                     166.55                0.00             1532.34
s201            13324.09                     166.55                0.00             2575.40
s202            13324.09                     166.55                0.00             3764.85
s203            13324.09                     166.55                0.00             2759.89
s204            13324.09                     166.55                0.00             3029.35
s205            13324.09                     166.55                0.00             3293.42
s206            13324.09                     166.55                0.00             4071.56
s207            13324.09                     166.55                0.00             4144.28
s208            13324.09                     166.55                0.00             2512.89
s209            13324.09                     166.55                0.00             4029.13
s210            13324.09                     166.55                0.00             2550.31
s211            13324.09                     166.55                0.00             2615.71
s212            13324.09                     166.55                0.00             2653.85
s213            13324.09                     166.55                0.00             2927.99
s214            13324.09                     166.55                0.00             2451.07
s215            13324.09                     166.55                0.00             4275.19
s216            13324.09                     166.55                0.00             4567.11
s217            13324.09                     166.55                0.00             4616.65
s218            13324.09                     166.55                0.00             2198.09
s219            13324.09                     166.55                0.00             3922.24
s220            13324.09                     166.55                0.00             4843.11
s221            13324.09                     166.55                0.00             2323.17
s222            13324.09                     166.55                0.00             2523.03
s223            13324.09                     166.55                0.00             2786.21
s224            13324.09                     166.55                0.00             3078.87
s225            13324.09                     166.55                0.00             4501.35
s226            13324.09                     166.55                0.00             3628.98
s227            13324.09                     166.55                0.00             2324.10
s228            13324.09                     166.55                0.00             2110.19
s229            13324.09                     166.55                0.00             3114.46
