Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

        0.00               0.00                0.00             3137.18                0.00                1.00                0.00



Scenario           Profit              Sales               Leftover_inv        demand
s1                  0.00                       0.00                0.00             3188.25
s2                  0.00                       0.00                0.00             3838.86
s3                  0.00                       0.00                0.00             1552.68
s4                  0.00                       0.00                0.00             3162.94
s5                  0.00                       0.00                0.00             1605.85
s6                  0.00                       0.00                0.00             2480.83
s7                  0.00                       0.00                0.00             3563.91
s8                  0.00                       0.00                0.00             1907.20
s9                  0.00                       0.00                0.00             3974.80
s10                 0.00                       0.00                0.00                0.00
s11                 0.00                       0.00                0.00             2715.44
s12                 0.00                       0.00                0.00             2017.38
s13                 0.00                       0.00                0.00             2662.24
s14                 0.00                       0.00                0.00             4485.04
s15                 0.00                       0.00                0.00             2787.86
s16                 0.00                       0.00                0.00             2467.26
s17                 0.00                       0.00                0.00             4192.53
s18                 0.00                       0.00                0.00             2870.00
s19                 0.00                       0.00                0.00             2689.59
s20                 0.00                       0.00                0.00             2526.41
s21                 0.00                       0.00                0.00             4091.27
s22                 0.00                       0.00                0.00             3307.65
s23                 0.00                       0.00                0.00             4714.17
s24                 0.00                       0.00                0.00             1366.87
s25                 0.00                       0.00                0.00             4182.56
s26                 0.00                       0.00                0.00               47.65
s27                 0.00                       0.00                0.00             3866.85
s28                 0.00                       0.00                0.00             4048.97
s29                 0.00                       0.00                0.00             4090.59
s30                 0.00                       0.00                0.00             4408.84
s31                 0.00                       0.00                0.00             3328.51
s32                 0.00                       0.00                0.00             3301.81
s33                 0.00                       0.00                0.00             3874.48
s34                 0.00                       0.00                0.00             3907.43
s35                 0.00                       0.00                0.00             2962.42
s36                 0.00                       0.00                0.00             3141.30
s37                 0.00                       0.00                0.00             3648.11
s38                 0.00                       0.00                0.00             3681.10
s39                 0.00                       0.00                0.00             5003.22
s40                 0.00                       0.00                0.00             3378.43
s41                 0.00                       0.00                0.00             5107.10
s42                 0.00                       0.00                0.00             1868.03
s43                 0.00                       0.00                0.00             2736.28
s44                 0.00                       0.00                0.00              216.06
s45                 0.00                       0.00                0.00             2855.29
s46                 0.00                       0.00                0.00             1613.28
s47                 0.00                       0.00                0.00             1903.88
s48                 0.00                       0.00                0.00             3148.96
s49                 0.00                       0.00                0.00             4403.85
s50                 0.00                       0.00                0.00             3964.55
s51                 0.00                       0.00                0.00             2925.99
s52                 0.00                       0.00                0.00             4750.87
s53                 0.00                       0.00                0.00             1888.39
s54                 0.00                       0.00                0.00             2459.57
s55                 0.00                       0.00                0.00             2617.27
s56                 0.00                       0.00                0.00             2288.06
s57                 0.00                       0.00                0.00             3585.10
s58                 0.00                       0.00                0.00             4368.33
s59                 0.00                       0.00                0.00             4971.11
s60                 0.00                       0.00                0.00             1427.99
s61                 0.00                       0.00                0.00             4248.76
s62                 0.00                       0.00                0.00             4121.00
s63                 0.00                       0.00                0.00             1947.32
s64                 0.00                       0.00                0.00             1720.39
s65                 0.00                       0.00                0.00             4508.10
s66                 0.00                       0.00                0.00             2745.26
s67                 0.00                       0.00                0.00             2400.82
s68                 0.00                       0.00                0.00             3201.93
s69                 0.00                       0.00                0.00             2378.94
s70                 0.00                       0.00                0.00             2491.32
s71                 0.00                       0.00                0.00             2551.31
s72                 0.00                       0.00                0.00             2593.27
s73                 0.00                       0.00                0.00             7010.74
s74                 0.00                       0.00                0.00             3956.45
s75                 0.00                       0.00                0.00             1770.84
s76                 0.00                       0.00                0.00             3870.97
s77                 0.00                       0.00                0.00             1068.66
s78                 0.00                       0.00                0.00             3746.06
s79                 0.00                       0.00                0.00             4210.24
s80                 0.00                       0.00                0.00             3890.99
s81                 0.00                       0.00                0.00             1305.87
