Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     4090.59          219833.87             3016.46              120.72             1074.13                0.20           219833.87



Scenario           Profit              Sales               Leftover_inv        demand
s1             237013.27                    3188.25              902.34             3188.25
s2             302074.29                    3838.86              251.73             3838.86
s3              73456.10                    1552.68             2537.91             1552.68
s4             234482.32                    3162.94              927.65             3162.94
s5              78773.31                    1605.85             2484.74             1605.85
s6             166271.15                    2480.83             1609.76             2480.83
s7             274579.38                    3563.91              526.68             3563.91
s8             108908.50                    1907.20             2183.39             1907.20
s9             315668.34                    3974.80              115.79             3974.80
s10            -81811.77                       0.00             4090.59                0.00
s11            189731.95                    2715.44             1375.15             2715.44
s12            119926.36                    2017.38             2073.21             2017.38
s13            184412.33                    2662.24             1428.35             2662.24
s14            327247.07                    4090.59                0.00             4485.04
s15            196973.84                    2787.86             1302.73             2787.86
s16            164913.84                    2467.26             1623.33             2467.26
s17            327247.07                    4090.59                0.00             4192.53
s18            205188.14                    2870.00             1220.59             2870.00
s19            187147.30                    2689.59             1401.00             2689.59
s20            170829.30                    2526.41             1564.18             2526.41
s21            327247.07                    4090.59                0.00             4091.27
s22            248953.40                    3307.65              782.94             3307.65
s23            327247.07                    4090.59                0.00             4714.17
s24             54874.88                    1366.87             2723.72             1366.87
s25            327247.07                    4090.59                0.00             4182.56
s26            -77046.37                      47.65             4042.93               47.65
s27            304873.26                    3866.85              223.74             3866.85
s28            323084.93                    4048.97               41.62             4048.97
s29            327247.07                    4090.59                0.00             4090.59
s30            327247.07                    4090.59                0.00             4408.84
s31            251039.41                    3328.51              762.08             3328.51
s32            248369.35                    3301.81              788.78             3301.81
s33            305636.03                    3874.48              216.11             3874.48
s34            308931.02                    3907.43              183.16             3907.43
s35            214430.65                    2962.42             1128.16             2962.42
s36            232318.46                    3141.30              949.29             3141.30
s37            282999.07                    3648.11              442.48             3648.11
s38            286298.40                    3681.10              409.49             3681.10
s39            327247.07                    4090.59                0.00             5003.22
s40            256030.78                    3378.43              712.16             3378.43
s41            327247.07                    4090.59                0.00             5107.10
s42            104991.03                    1868.03             2222.56             1868.03
s43            191816.06                    2736.28             1354.31             2736.28
s44            -60205.38                     216.06             3874.52              216.06
s45            203717.25                    2855.29             1235.30             2855.29
s46             79516.01                    1613.28             2477.31             1613.28
s47            108576.33                    1903.88             2186.71             1903.88
s48            233084.06                    3148.96              941.63             3148.96
s49            327247.07                    4090.59                0.00             4403.85
s50            314642.98                    3964.55              126.04             3964.55
s51            210787.42                    2925.99             1164.60             2925.99
s52            327247.07                    4090.59                0.00             4750.87
s53            107027.45                    1888.39             2202.20             1888.39
s54            164145.41                    2459.57             1631.02             2459.57
s55            179915.07                    2617.27             1473.32             2617.27
s56            146994.02                    2288.06             1802.53             2288.06
s57            276698.11                    3585.10              505.49             3585.10
s58            327247.07                    4090.59                0.00             4368.33
s59            327247.07                    4090.59                0.00             4971.11
s60             60987.33                    1427.99             2662.60             1427.99
s61            327247.07                    4090.59                0.00             4248.76
s62            327247.07                    4090.59                0.00             4121.00
s63            112920.72                    1947.32             2143.26             1947.32
s64             90226.94                    1720.39             2370.20             1720.39
s65            327247.07                    4090.59                0.00             4508.10
s66            192714.50                    2745.26             1345.33             2745.26
s67            158270.08                    2400.82             1689.77             2400.82
s68            238381.62                    3201.93              888.65             3201.93
s69            156081.97                    2378.94             1711.65             2378.94
s70            167320.12                    2491.32             1599.27             2491.32
s71            173319.37                    2551.31             1539.28             2551.31
s72            177514.74                    2593.27             1497.32             2593.27
s73            327247.07                    4090.59                0.00             7010.74
s74            313833.45                    3956.45              134.14             3956.45
s75             95271.98                    1770.84             2319.75             1770.84
s76            305285.35                    3870.97              219.62             3870.97
s77             25054.38                    1068.66             3021.93             1068.66
s78            292794.04                    3746.06              344.53             3746.06
s79            327247.07                    4090.59                0.00             4210.24
s80            307286.77                    3890.99              199.60             3890.99
s81             48775.69                    1305.87             2784.71             1305.87
s82            268015.68                    3498.27              592.31             3498.27
s83            237974.07                    3197.86              892.73             3197.86
s84            119200.88                    2010.13             2080.46             2010.13
s85            140413.02                    2222.25             1868.34             2222.25
s86            175043.33                    2568.55             1522.04             2568.55
s87            289089.49                    3709.01              381.58             3709.01
s88            283712.98                    3655.25              435.34             3655.25
s89            263044.97                    3448.57              642.02             3448.57
s90             97940.23                    1797.52             2293.07             1797.52
s91            327247.07                    4090.59                0.00             4424.47
s92            327247.07                    4090.59                0.00             4349.05
s93            160807.55                    2426.19             1664.40             2426.19
s94            293807.04                    3756.19              334.40             3756.19
s95            212223.88                    2940.36             1150.23             2940.36
s96            194801.08                    2766.13             1324.46             2766.13
s97            313876.67                    3956.88              133.70             3956.88
s98            165758.70                    2475.70             1614.88             2475.70
s99            214877.77                    2966.90             1123.69             2966.90
s100            70380.06                    1521.92             2568.67             1521.92
s101           327247.07                    4090.59                0.00             4327.76
s102           244299.80                    3261.12              829.47             3261.12
s103           104180.31                    1859.92             2230.67             1859.92
s104            78103.13                    1599.15             2491.44             1599.15
s105           314135.68                    3959.47              131.11             3959.47
s106           261636.93                    3434.49              656.10             3434.49
s107           168273.14                    2500.85             1589.74             2500.85
s108            51297.38                    1331.09             2759.50             1331.09
s109           133494.02                    2153.06             1937.53             2153.06
s110           327247.07                    4090.59                0.00             4339.83
s111           327247.07                    4090.59                0.00             5598.15
s112           169773.80                    2515.86             1574.73             2515.86
s113           -45074.03                     367.38             3723.21              367.38
s114           228181.97                    3099.94              990.65             3099.94
s115           327247.07                    4090.59                0.00             4296.38
s116           246301.47                    3281.13              809.46             3281.13
s117           164318.18                    2461.30             1629.29             2461.30
s118           220103.78                    3019.16             1071.43             3019.16
s119           227868.82                    3096.81              993.78             3096.81
s120           300075.06                    3818.87              271.72             3818.87
s121           194219.24                    2760.31             1330.28             2760.31
s122           308788.65                    3906.00              184.58             3906.00
s123            75646.42                    1574.58             2516.01             1574.58
s124           234884.08                    3166.96              923.63             3166.96
s125             9478.06                     912.90             3177.69              912.90
s126           107538.86                    1893.51             2197.08             1893.51
s127           312321.32                    3941.33              149.26             3941.33
s128           239376.65                    3211.88              878.70             3211.88
s129           105336.91                    1871.49             2219.10             1871.49
s130           -42800.51                     390.11             3700.48              390.11
s131           290142.73                    3719.54              371.04             3719.54
s132           253490.98                    3353.03              737.56             3353.03
s133           247242.42                    3290.54              800.05             3290.54
s134           327247.07                    4090.59                0.00             4304.49
s135           170090.39                    2519.02             1571.57             2519.02
s136           226243.83                    3080.56             1010.03             3080.56
s137           327247.07                    4090.59                0.00             4784.99
s138           229030.85                    3108.43              982.16             3108.43
s139           327247.07                    4090.59                0.00             4328.83
s140           165413.08                    2472.25             1618.34             2472.25
s141           315848.49                    3976.60              113.99             3976.60
s142           287987.91                    3698.00              392.59             3698.00
s143           327247.07                    4090.59                0.00             4542.86
s144            -5450.25                     763.62             3326.97              763.62
s145            36683.47                    1184.95             2905.64             1184.95
s146           188157.15                    2699.69             1390.90             2699.69
s147           280822.75                    3626.35              464.24             3626.35
s148           327247.07                    4090.59                0.00             4781.35
s149           327247.07                    4090.59                0.00             4151.54
s150           300977.89                    3827.90              262.69             3827.90
s151           201134.22                    2829.46             1261.13             2829.46
s152            74728.72                    1565.40             2525.18             1565.40
s153            92416.51                    1742.28             2348.31             1742.28
s154           327247.07                    4090.59                0.00             4234.46
s155           150343.02                    2321.55             1769.04             2321.55
s156           155748.11                    2375.60             1714.99             2375.60
s157           276130.03                    3579.42              511.17             3579.42
s158           210119.67                    2919.31             1171.27             2919.31
s159           195361.32                    2771.73             1318.86             2771.73
s160           293244.42                    3750.56              340.03             3750.56
s161           327247.07                    4090.59                0.00             4494.94
s162           177257.43                    2590.69             1499.90             2590.69
s163           105317.49                    1871.29             2219.30             1871.29
s164           327192.55                    4090.04                0.55             4090.04
s165           215144.50                    2969.56             1121.03             2969.56
s166           236766.83                    3185.79              904.80             3185.79
s167           266177.70                    3479.89              610.69             3479.89
s168           142130.24                    2239.42             1851.17             2239.42
s169           293116.03                    3749.28              341.31             3749.28
s170           138753.20                    2205.65             1884.94             2205.65
s171           226424.65                    3082.36             1008.22             3082.36
s172            98187.86                    1800.00             2290.59             1800.00
s173           327247.07                    4090.59                0.00             4267.36
