Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob

     4090.59          215929.85             2977.42               98.30             1113.17                0.19



Scenario           Profit              Sales               Leftover_inv        demand
s1             237013.27                    3188.25              902.34             3188.25
s2             302074.29                    3838.86              251.73             3838.86
s3              73456.10                    1552.68             2537.91             1552.68
s4             234482.32                    3162.94              927.65             3162.94
s5              78773.31                    1605.85             2484.74             1605.85
s6             166271.15                    2480.83             1609.76             2480.83
s7             274579.38                    3563.91              526.68             3563.91
s8             108908.50                    1907.20             2183.39             1907.20
s9             315668.34                    3974.80              115.79             3974.80
s10            -81811.77                       0.00             4090.59                0.00
s11            189731.95                    2715.44             1375.15             2715.44
s12            119926.36                    2017.38             2073.21             2017.38
s13            184412.33                    2662.24             1428.35             2662.24
s14            327247.07                    4090.59                0.00             4485.04
s15            196973.84                    2787.86             1302.73             2787.86
s16            164913.84                    2467.26             1623.33             2467.26
s17            327247.07                    4090.59                0.00             4192.53
s18            205188.14                    2870.00             1220.59             2870.00
s19            187147.30                    2689.59             1401.00             2689.59
s20            170829.30                    2526.41             1564.18             2526.41
s21            327247.07                    4090.59                0.00             4091.27
s22            248953.40                    3307.65              782.94             3307.65
s23            327247.07                    4090.59                0.00             4714.17
s24             54874.88                    1366.87             2723.72             1366.87
s25            327247.07                    4090.59                0.00             4182.56
s26            -77046.37                      47.65             4042.93               47.65
s27            304873.26                    3866.85              223.74             3866.85
s28            323084.93                    4048.97               41.62             4048.97
s29            327247.07                    4090.59                0.00             4090.59
s30            327247.07                    4090.59                0.00             4408.84
s31            251039.41                    3328.51              762.08             3328.51
s32            248369.35                    3301.81              788.78             3301.81
s33            305636.03                    3874.48              216.11             3874.48
s34            308931.02                    3907.43              183.16             3907.43
s35            214430.65                    2962.42             1128.16             2962.42
s36            232318.46                    3141.30              949.29             3141.30
s37            282999.07                    3648.11              442.48             3648.11
s38            286298.40                    3681.10              409.49             3681.10
s39            327247.07                    4090.59                0.00             5003.22
s40            256030.78                    3378.43              712.16             3378.43
s41            327247.07                    4090.59                0.00             5107.10
s42            104991.03                    1868.03             2222.56             1868.03
s43            191816.06                    2736.28             1354.31             2736.28
s44            -60205.38                     216.06             3874.52              216.06
s45            203717.25                    2855.29             1235.30             2855.29
s46             79516.01                    1613.28             2477.31             1613.28
s47            108576.33                    1903.88             2186.71             1903.88
s48            233084.06                    3148.96              941.63             3148.96
s49            327247.07                    4090.59                0.00             4403.85
s50            314642.98                    3964.55              126.04             3964.55
s51            210787.42                    2925.99             1164.60             2925.99
s52            327247.07                    4090.59                0.00             4750.87
s53            107027.45                    1888.39             2202.20             1888.39
s54            164145.41                    2459.57             1631.02             2459.57
s55            179915.07                    2617.27             1473.32             2617.27
s56            146994.02                    2288.06             1802.53             2288.06
s57            276698.11                    3585.10              505.49             3585.10
s58            327247.07                    4090.59                0.00             4368.33
s59            327247.07                    4090.59                0.00             4971.11
s60             60987.33                    1427.99             2662.60             1427.99
s61            327247.07                    4090.59                0.00             4248.76
s62            327247.07                    4090.59                0.00             4121.00
s63            112920.72                    1947.32             2143.26             1947.32
s64             90226.94                    1720.39             2370.20             1720.39
s65            327247.07                    4090.59                0.00             4508.10
s66            192714.50                    2745.26             1345.33             2745.26
s67            158270.08                    2400.82             1689.77             2400.82
s68            238381.62                    3201.93              888.65             3201.93
s69            156081.97                    2378.94             1711.65             2378.94
s70            167320.12                    2491.32             1599.27             2491.32
s71            173319.37                    2551.31             1539.28             2551.31
s72            177514.74                    2593.27             1497.32             2593.27
s73            327247.07                    4090.59                0.00             7010.74
s74            313833.45                    3956.45              134.14             3956.45
s75             95271.98                    1770.84             2319.75             1770.84
s76            305285.35                    3870.97              219.62             3870.97
s77             25054.38                    1068.66             3021.93             1068.66
s78            292794.04                    3746.06              344.53             3746.06
s79            327247.07                    4090.59                0.00             4210.24
s80            307286.77                    3890.99              199.60             3890.99
s81             48775.69                    1305.87             2784.71             1305.87
s82            268015.68                    3498.27              592.31             3498.27
s83            237974.07                    3197.86              892.73             3197.86
s84            119200.88                    2010.13             2080.46             2010.13
s85            140413.02                    2222.25             1868.34             2222.25
s86            175043.33                    2568.55             1522.04             2568.55
s87            289089.49                    3709.01              381.58             3709.01
s88            283712.98                    3655.25              435.34             3655.25
s89            263044.97                    3448.57              642.02             3448.57
s90             97940.23                    1797.52             2293.07             1797.52
s91            327247.07                    4090.59                0.00             4424.47
s92            327247.07                    4090.59                0.00             4349.05
s93            160807.55                    2426.19             1664.40             2426.19
s94            293807.04                    3756.19              334.40             3756.19
s95            212223.88                    2940.36             1150.23             2940.36
s96            194801.08                    2766.13             1324.46             2766.13
s97            313876.67                    3956.88              133.70             3956.88
s98            165758.70                    2475.70             1614.88             2475.70
s99            214877.77                    2966.90             1123.69             2966.90
s100            70380.06                    1521.92             2568.67             1521.92
