Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob

     4091.27          219833.87             3016.59              120.58             1074.68                0.20



Scenario           Profit              Sales               Leftover_inv        demand
s1             236999.63                    3188.25              903.02             3188.25
s2             302060.65                    3838.86              252.41             3838.86
s3              73442.46                    1552.68             2538.59             1552.68
s4             234468.68                    3162.94              928.33             3162.94
s5              78759.66                    1605.85             2485.42             1605.85
s6             166257.51                    2480.83             1610.44             2480.83
s7             274565.74                    3563.91              527.36             3563.91
s8             108894.85                    1907.20             2184.07             1907.20
s9             315654.69                    3974.80              116.47             3974.80
s10            -81825.41                       0.00             4091.27                0.00
s11            189718.31                    2715.44             1375.83             2715.44
s12            119912.72                    2017.38             2073.89             2017.38
s13            184398.68                    2662.24             1429.03             2662.24
s14            327301.63                    4091.27                0.00             4485.04
s15            196960.20                    2787.86             1303.41             2787.86
s16            164900.19                    2467.26             1624.01             2467.26
s17            327301.63                    4091.27                0.00             4192.53
s18            205174.50                    2870.00             1221.27             2870.00
s19            187133.66                    2689.59             1401.68             2689.59
s20            170815.66                    2526.41             1564.86             2526.41
s21            327301.63                    4091.27                0.00             4091.27
s22            248939.75                    3307.65              783.62             3307.65
s23            327301.63                    4091.27                0.00             4714.17
s24             54861.24                    1366.87             2724.40             1366.87
s25            327301.63                    4091.27                0.00             4182.56
s26            -77060.01                      47.65             4043.62               47.65
s27            304859.62                    3866.85              224.42             3866.85
s28            323071.29                    4048.97               42.30             4048.97
s29            327233.43                    4090.59                0.68             4090.59
s30            327301.63                    4091.27                0.00             4408.84
s31            251025.77                    3328.51              762.76             3328.51
s32            248355.70                    3301.81              789.46             3301.81
s33            305622.39                    3874.48              216.79             3874.48
s34            308917.38                    3907.43              183.84             3907.43
s35            214417.00                    2962.42             1128.85             2962.42
s36            232304.82                    3141.30              949.97             3141.30
s37            282985.43                    3648.11              443.16             3648.11
s38            286284.75                    3681.10              410.17             3681.10
s39            327301.63                    4091.27                0.00             5003.22
s40            256017.14                    3378.43              712.84             3378.43
s41            327301.63                    4091.27                0.00             5107.10
s42            104977.39                    1868.03             2223.24             1868.03
