Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       var                 cvar

       47.65            3764.66               47.18             3028.54                0.48                0.98             3812.31             1429.62



Scenario           Profit              Sales               Leftover_inv        demand
s1               3812.31                      47.65                0.00             3188.25
s2               3812.31                      47.65                0.00             3838.86
s3               3812.31                      47.65                0.00             1552.68
s4               3812.31                      47.65                0.00             3162.94
s5               3812.31                      47.65                0.00             1605.85
s6               3812.31                      47.65                0.00             2480.83
s7               3812.31                      47.65                0.00             3563.91
s8               3812.31                      47.65                0.00             1907.20
s9               3812.31                      47.65                0.00             3974.80
s10              -953.08                       0.00               47.65                0.00
s11              3812.31                      47.65                0.00             2715.44
s12              3812.31                      47.65                0.00             2017.38
s13              3812.31                      47.65                0.00             2662.24
s14              3812.31                      47.65                0.00             4485.04
s15              3812.31                      47.65                0.00             2787.86
s16              3812.31                      47.65                0.00             2467.26
s17              3812.31                      47.65                0.00             4192.53
s18              3812.31                      47.65                0.00             2870.00
s19              3812.31                      47.65                0.00             2689.59
s20              3812.31                      47.65                0.00             2526.41
s21              3812.31                      47.65                0.00             4091.27
s22              3812.31                      47.65                0.00             3307.65
s23              3812.31                      47.65                0.00             4714.17
s24              3812.31                      47.65                0.00             1366.87
s25              3812.31                      47.65                0.00             4182.56
s26              3812.31                      47.65                0.00               47.65
s27              3812.31                      47.65                0.00             3866.85
s28              3812.31                      47.65                0.00             4048.97
s29              3812.31                      47.65                0.00             4090.59
s30              3812.31                      47.65                0.00             4408.84
s31              3812.31                      47.65                0.00             3328.51
s32              3812.31                      47.65                0.00             3301.81
s33              3812.31                      47.65                0.00             3874.48
s34              3812.31                      47.65                0.00             3907.43
s35              3812.31                      47.65                0.00             2962.42
s36              3812.31                      47.65                0.00             3141.30
s37              3812.31                      47.65                0.00             3648.11
s38              3812.31                      47.65                0.00             3681.10
s39              3812.31                      47.65                0.00             5003.22
s40              3812.31                      47.65                0.00             3378.43
s41              3812.31                      47.65                0.00             5107.10
s42              3812.31                      47.65                0.00             1868.03
s43              3812.31                      47.65                0.00             2736.28
s44              3812.31                      47.65                0.00              216.06
s45              3812.31                      47.65                0.00             2855.29
s46              3812.31                      47.65                0.00             1613.28
s47              3812.31                      47.65                0.00             1903.88
s48              3812.31                      47.65                0.00             3148.96
s49              3812.31                      47.65                0.00             4403.85
s50              3812.31                      47.65                0.00             3964.55
s51              3812.31                      47.65                0.00             2925.99
s52              3812.31                      47.65                0.00             4750.87
s53              3812.31                      47.65                0.00             1888.39
s54              3812.31                      47.65                0.00             2459.57
s55              3812.31                      47.65                0.00             2617.27
s56              3812.31                      47.65                0.00             2288.06
s57              3812.31                      47.65                0.00             3585.10
s58              3812.31                      47.65                0.00             4368.33
s59              3812.31                      47.65                0.00             4971.11
s60              3812.31                      47.65                0.00             1427.99
s61              3812.31                      47.65                0.00             4248.76
s62              3812.31                      47.65                0.00             4121.00
s63              3812.31                      47.65                0.00             1947.32
s64              3812.31                      47.65                0.00             1720.39
s65              3812.31                      47.65                0.00             4508.10
s66              3812.31                      47.65                0.00             2745.26
s67              3812.31                      47.65                0.00             2400.82
s68              3812.31                      47.65                0.00             3201.93
s69              3812.31                      47.65                0.00             2378.94
s70              3812.31                      47.65                0.00             2491.32
s71              3812.31                      47.65                0.00             2551.31
s72              3812.31                      47.65                0.00             2593.27
s73              3812.31                      47.65                0.00             7010.74
s74              3812.31                      47.65                0.00             3956.45
s75              3812.31                      47.65                0.00             1770.84
s76              3812.31                      47.65                0.00             3870.97
s77              3812.31                      47.65                0.00             1068.66
s78              3812.31                      47.65                0.00             3746.06
s79              3812.31                      47.65                0.00             4210.24
s80              3812.31                      47.65                0.00             3890.99
s81              3812.31                      47.65                0.00             1305.87
s82              3812.31                      47.65                0.00             3498.27
s83              3812.31                      47.65                0.00             3197.86
s84              3812.31                      47.65                0.00             2010.13
s85              3812.31                      47.65                0.00             2222.25
s86              3812.31                      47.65                0.00             2568.55
s87              3812.31                      47.65                0.00             3709.01
s88              3812.31                      47.65                0.00             3655.25
s89              3812.31                      47.65                0.00             3448.57
s90              3812.31                      47.65                0.00             1797.52
s91              3812.31                      47.65                0.00             4424.47
s92              3812.31                      47.65                0.00             4349.05
s93              3812.31                      47.65                0.00             2426.19
s94              3812.31                      47.65                0.00             3756.19
s95              3812.31                      47.65                0.00             2940.36
s96              3812.31                      47.65                0.00             2766.13
s97              3812.31                      47.65                0.00             3956.88
s98              3812.31                      47.65                0.00             2475.70
s99              3812.31                      47.65                0.00             2966.90
s100             3812.31                      47.65                0.00             1521.92
