CVaR               VaR

       50.84              50.84



Scenario           Finish_time         Tail

s1                 50.84                       0.00
s2                 50.84                       0.00
s3                 50.84                       0.00
s4                 50.84                       0.00
s5                 50.84                       0.00
s6                 50.84                       0.00
s7                 50.84                       0.00
s8                 50.84                       0.00
s9                 50.84                       0.00
s10                50.84                       0.00
s11                50.84                       0.00
s12                50.84                       0.00
s13                50.84                       0.00
s14                50.84                       0.00
s15                50.84                       0.00
s16                50.84                       0.00
s17                50.84                       0.00
s18                50.84                       0.00
s19                50.84                       0.00
s20                50.84                       0.00
s21                50.84                       0.00
s22                50.84                       0.00
s23                50.84                       0.00
s24                50.84                       0.00
s25                50.84                       0.00
s26                50.84                       0.00
s27                50.84                       0.00
s28                50.84                       0.00
s29                50.84                       0.00
s30                50.84                       0.00
s31                50.84                       0.00
s32                50.84                       0.00
s33                50.84                       0.00
s34                50.84                       0.00
s35                50.84                       0.00
s36                50.84                       0.00
s37                50.84                       0.00
s38                50.84                       0.00
s39                50.84                       0.00
s40                50.84                       0.00
s41                50.84                       0.00
s42                50.84                       0.00
s43                50.84                       0.00
s44                50.84                       0.00
s45                50.84                       0.00
s46                50.84                       0.00
s47                50.84                       0.00
s48                50.84                       0.00
s49                50.84                       0.00
s50                50.84                       0.00
s51                50.84                       0.00
s52                50.84                       0.00
s53                50.84                       0.00
s54                50.84                       0.00
s55                50.84                       0.00
s56                50.84                       0.00
s57                50.84                       0.00
s58                50.84                       0.00
s59                50.84                       0.00
s60                50.84                       0.00
s61                50.84                       0.00
s62                50.84                       0.00
s63                50.84                       0.00
s64                50.84                       0.00
s65                50.84                       0.00
s66                50.84                       0.00
s67                50.84                       0.00
s68                50.84                       0.00
s69                50.84                       0.00
s70                50.84                       0.00
s71                50.84                       0.00
s72                50.84                       0.00
s73                50.84                       0.00
s74                50.84                       0.00
s75                50.84                       0.00
s76                50.84                       0.00
s77                50.84                       0.00
s78                50.84                       0.00
s79                50.84                       0.00
s80                50.84                       0.00
s81                50.84                       0.00
s82                50.84                       0.00
s83                50.84                       0.00
s84                50.84                       0.00
s85                50.84                       0.00
s86                50.84                       0.00
s87                50.84                       0.00
s88                50.84                       0.00
s89                50.84                       0.00
s90                50.84                       0.00
s91                50.84                       0.00
s92                50.84                       0.00
s93                50.84                       0.00
s94                50.84                       0.00
s95                50.84                       0.00
s96                50.84                       0.00
s97                50.84                       0.00
s98                50.84                       0.00
s99                50.84                       0.00
s100               50.84                       0.00
s101               50.84                       0.00
s102               50.84                       0.00
s103               50.84                       0.00
s104               50.84                       0.00
s105               50.84                       0.00
s106               50.84                       0.00
s107               50.84                       0.00
s108               50.84                       0.00
s109               50.84                       0.00
s110               50.84                       0.00
s111               50.84                       0.00
s112               50.84                       0.00
s113               50.84                       0.00
s114               50.84                       0.00
s115               50.84                       0.00
s116               50.84                       0.00
s117               50.84                       0.00
s118               50.84                       0.00
s119               50.84                       0.00
s120               50.84                       0.00
s121               50.84                       0.00
s122               50.84                       0.00
s123               50.84                       0.00
s124               50.84                       0.00
s125               50.84                       0.00
s126               50.84                       0.00
s127               50.84                       0.00
s128               50.84                       0.00
s129               50.84                       0.00
s130               50.84                       0.00
s131               50.84                       0.00
s132               50.84                       0.00
s133               50.84                       0.00
s134               50.84                       0.00
s135               50.84                       0.00
s136               50.84                       0.00
s137               50.84                       0.00
s138               50.84                       0.00
s139               50.84                       0.00
s140               50.84                       0.00
s141               50.84                       0.00
s142               50.84                       0.00
s143               50.84                       0.00
s144               50.84                       0.00
s145               50.84                       0.00
s146               50.84                       0.00
s147               50.84                       0.00
s148               50.84                       0.00
s149               50.84                       0.00
s150               50.84                       0.00
s151               50.84                       0.00
s152               50.84                       0.00
s153               50.84                       0.00
s154               50.84                       0.00
s155               50.84                       0.00
s156               50.84                       0.00
s157               50.84                       0.00
s158               50.84                       0.00
s159               50.84                       0.00
s160               50.84                       0.00
s161               50.84                       0.00
s162               50.84                       0.00
s163               50.84                       0.00
s164               50.84                       0.00
s165               50.84                       0.00
s166               50.84                       0.00
s167               50.84                       0.00
s168               50.84                       0.00
s169               50.84                       0.00
s170               50.84                       0.00
s171               50.84                       0.00
s172               50.84                       0.00
s173               50.84                       0.00
s174               50.84                       0.00
s175               50.84                       0.00
s176               50.84                       0.00
s177               50.84                       0.00
s178               50.84                       0.00
s179               50.84                       0.00
s180               50.84                       0.00
s181               50.84                       0.00
s182               50.84                       0.00
s183               50.84                       0.00
s184               50.84                       0.00
s185               50.84                       0.00
s186               50.84                       0.00
s187               50.84                       0.00
s188               50.84                       0.00
s189               50.84                       0.00
s190               50.84                       0.00
s191               50.84                       0.00
s192               50.84                       0.00
s193               50.84                       0.00
s194               50.84                       0.00
s195               50.84                       0.00
s196               50.84                       0.00
s197               50.84                       0.00
s198               50.84                       0.00
s199               50.84                       0.00
s200               50.84                       0.00
s201               50.84                       0.00
s202               50.84                       0.00
s203               50.84                       0.00
s204               50.84                       0.00
s205               50.84                       0.00
s206               50.84                       0.00
s207               50.84                       0.00
s208               50.84                       0.00
s209               50.84                       0.00
s210               50.84                       0.00
s211               50.84                       0.00
s212               50.84                       0.00
s213               50.84                       0.00
